#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%
1,Paul Goldschmidt,R,STL,1B,1B,4/11,8,77.7,@COL,KFreeland(L),96,Lst7,4.9,4.4,1.6,1.01,0.33,1.06,0.07,0.44,0.71,0.370,0.429,0.688,1.117,100
2,Nolan Arenado,R,STL,3B,3B,4/11,8,68.6,@COL,KFreeland(L),96,Lst7,4.8,4.4,1.5,0.91,0.32,1.09,0.04,0.30,0.44,0.345,0.388,0.655,1.043,100
3,Tyler O’Neill,R,STL,OF,OF,4/11,8,64.6,@COL,KFreeland(L),96,Lst7,4.6,4.2,1.4,0.84,0.30,0.90,0.17,0.29,0.93,0.330,0.380,0.628,1.008,100
4,Tommy Edman,S,STL,2B/SS,2B/SS,4/11,8,62.4,@COL,KFreeland(L),96,Lst7,5.1,4.8,1.6,0.96,0.15,0.65,0.31,0.22,0.58,0.337,0.370,0.529,0.899,100
5,Willson Contreras,R,STL,C,C,4/11,8,50.7,@COL,KFreeland(L),90,Lst7,4.7,4.2,1.3,0.82,0.25,0.89,0.06,0.32,0.79,0.319,0.384,0.586,0.970,100
6,Dylan Carlson,S,STL,OF,OF,4/11,8,48.9,@COL,KFreeland(L),61,Lst7,5.0,4.6,1.5,0.93,0.18,0.75,0.07,0.32,0.73,0.334,0.384,0.555,0.939,11
7,Jordan Walker,R,STL,3B,3B,4/11,8,47.7,@COL,KFreeland(L),96,Lst7,4.4,4.0,1.4,0.78,0.19,0.75,0.10,0.23,0.78,0.348,0.387,0.587,0.974,100
8,Julio Rodriguez,R,SEA,OF,OF,4/11,7,46.9,@CHC,HWesneski(R),96,Lst7,4.7,4.3,1.2,0.77,0.24,0.61,0.25,0.28,1.03,0.289,0.342,0.520,0.862,100
9,Juan Yepez,R,STL,OF,1B/OF,4/11,8,46.6,@COL,KFreeland(L),96,Lst7,4.3,3.9,1.3,0.82,0.27,0.81,0.02,0.26,0.71,0.321,0.366,0.609,0.975,3
10,Aaron Judge,R,NYY,OF,OF,4/11,6,39.5,@CLE,HGaddis(R),96,Lst7,4.5,3.9,1.1,0.74,0.33,0.68,0.09,0.49,1.20,0.269,0.354,0.569,0.923,100
11,Shohei Ohtani,L,LAA,DH,DH,4/11,9,39.0,WSH,JGray(R),97,Lst7,4.0,3.4,0.9,0.64,0.34,0.67,0.13,0.53,0.97,0.267,0.367,0.625,0.992,100
12,Vladimir Guerrero Jr.,R,TOR,1B,1B,4/11,7,38.4,DET,MManning(R),96,Lst7,4.1,3.7,1.1,0.69,0.28,0.70,0.05,0.36,0.50,0.305,0.371,0.594,0.965,100
13,Ronald Acuna Jr.,R,ATL,OF,OF,4/11,7,36.9,CIN,LCessa(R),96,Lst7,4.3,3.7,1.1,0.70,0.16,0.50,0.29,0.45,0.76,0.282,0.367,0.478,0.845,100
14,Alec Burleson,L,STL,OF,OF,4/11,8,35.9,@COL,KFreeland(L),9,Lst7,4.9,4.6,1.4,0.81,0.17,0.67,0.04,0.23,0.67,0.314,0.350,0.482,0.832,21
15,Kyle Tucker,L,HOU,OF,OF,4/11,6,35.8,@PIT,MKeller(R),97,Lst7,4.3,3.8,1.1,0.57,0.17,0.66,0.23,0.41,0.65,0.291,0.361,0.505,0.866,100
16,C.J. Cron,R,COL,1B,1B,4/11,8,35.7,STL,MMikolas(R),93,Lst7,4.3,3.9,1.2,0.67,0.23,0.80,0.00,0.22,0.81,0.309,0.354,0.561,0.915,100
17,Taylor Motter,R,STL,OF,OF,4/11,8,34.5,@COL,KFreeland(L),96,Lst7,4.4,3.9,1.1,0.76,0.23,0.72,0.03,0.41,0.83,0.291,0.360,0.545,0.905,0
18,Kris Bryant,R,COL,OF,OF,4/11,8,32.2,STL,MMikolas(R),96,Lst7,4.4,4.0,1.3,0.71,0.17,0.67,0.02,0.28,0.69,0.325,0.374,0.538,0.912,100
19,Mike Trout,R,LAA,OF,OF,4/11,9,31.1,WSH,JGray(R),96,Lst7,4.1,3.5,0.9,0.69,0.33,0.62,0.02,0.53,1.06,0.266,0.367,0.611,0.978,100
20,Yordan Alvarez,L,HOU,OF,OF,4/11,6,30.5,@PIT,MKeller(R),97,Lst7,4.5,3.9,1.2,0.66,0.21,0.71,0.02,0.51,0.85,0.299,0.385,0.539,0.924,100
21,Pete Alonso,R,NYM,1B,1B,4/11,7,29.2,SD,RWeathers(L),96,Lst7,4.0,3.5,0.9,0.62,0.29,0.75,0.01,0.44,0.66,0.264,0.354,0.565,0.919,100
22,Bo Bichette,R,TOR,SS,SS,4/11,7,29.2,DET,MManning(R),96,Lst7,4.3,3.9,1.2,0.65,0.19,0.55,0.12,0.23,0.68,0.292,0.333,0.505,0.838,100
23,Corey Seager,L,TEX,SS,SS,4/11,8,28.9,KC,JLyles(R),95,Lst7,4.1,3.7,1.1,0.69,0.21,0.60,0.03,0.35,0.51,0.306,0.368,0.557,0.925,100
24,Brendan Donovan,L,STL,2B/3B/ OF,1B/2B/ SS/3B/OF,4/11,8,27.9,@COL,KFreeland(L),33,Lst7,5.1,4.5,1.4,0.86,0.08,0.49,0.07,0.40,0.62,0.312,0.381,0.428,0.809,100
25,Ryan McMahon,L,COL,2B/3B,2B/3B,4/11,8,26.7,STL,MMikolas(R),97,Lst7,4.2,3.8,1.1,0.62,0.18,0.70,0.03,0.29,0.84,0.297,0.348,0.511,0.859,100
26,Marcus Semien,R,TEX,2B,2B/SS,4/11,8,26.3,KC,JLyles(R),96,Lst7,4.2,3.8,1.0,0.65,0.18,0.49,0.18,0.30,0.61,0.267,0.320,0.476,0.796,100
27,George Springer,R,TOR,OF,OF,4/11,7,25.2,DET,MManning(R),91,Lst7,4.3,3.9,1.0,0.68,0.21,0.52,0.10,0.36,0.64,0.268,0.335,0.489,0.824,100
28,Teoscar Hernandez,R,SEA,OF,OF,4/11,7,25.1,@CHC,HWesneski(R),96,Lst7,4.3,4.0,1.0,0.56,0.23,0.67,0.08,0.22,1.10,0.263,0.308,0.492,0.800,100
29,Charlie Blackmon,L,COL,OF,OF,4/11,8,24.2,STL,MMikolas(R),97,Lst7,4.5,4.2,1.3,0.71,0.15,0.59,0.02,0.22,0.62,0.300,0.342,0.485,0.827,100
30,Nolan Gorman,L,STL,2B,2B,4/11,8,23.8,@COL,KFreeland(L),13,Lst7,4.5,4.2,1.2,0.65,0.18,0.66,0.03,0.26,1.06,0.276,0.323,0.456,0.779,99
31,Nathaniel Lowe,L,TEX,1B,1B,4/11,8,23.2,KC,JLyles(R),97,Lst7,4.0,3.6,1.1,0.59,0.19,0.61,0.04,0.35,0.75,0.292,0.356,0.521,0.877,100
32,Elehuris Montero,R,COL,3B,1B/3B,4/11,8,22.7,STL,MMikolas(R),76,Lst7,4.0,3.7,1.1,0.59,0.17,0.61,0.01,0.19,0.79,0.305,0.347,0.523,0.870,81
33,Daulton Varsho,L,TOR,C/OF,C/OF,4/11,7,22.6,DET,MManning(R),97,Lst7,4.0,3.7,0.9,0.55,0.22,0.63,0.11,0.31,0.79,0.249,0.311,0.494,0.805,100
34,Adolis Garcia,R,TEX,OF,OF,4/11,8,22.0,KC,JLyles(R),91,Lst7,3.9,3.7,0.9,0.50,0.19,0.61,0.16,0.19,0.92,0.252,0.293,0.471,0.764,100
35,Ty France,R,SEA,1B,1B/3B,4/11,7,21.3,@CHC,HWesneski(R),96,Lst7,4.6,4.2,1.2,0.67,0.17,0.57,0.01,0.24,0.66,0.287,0.347,0.471,0.818,100
36,Giancarlo Stanton,R,NYY,OF,OF,4/11,6,21.2,@CLE,HGaddis(R),91,Lst7,4.3,3.9,0.9,0.57,0.29,0.69,0.01,0.36,1.25,0.240,0.307,0.509,0.816,100
37,Cal Raleigh,S,SEA,C,C,4/11,7,20.7,@CHC,HWesneski(R),67,Lst7,4.4,4.0,1.0,0.58,0.24,0.71,0.02,0.29,1.08,0.245,0.302,0.489,0.791,100
38,Jurickson Profar,S,COL,OF,OF,4/11,8,20.2,STL,MMikolas(R),56,Lst7,4.6,4.1,1.2,0.75,0.15,0.51,0.03,0.32,0.55,0.281,0.335,0.459,0.794,94
39,Andrew Knizner,R,STL,C,C,4/11,8,19.6,@COL,KFreeland(L),33,Lst7,4.3,3.9,1.1,0.67,0.12,0.57,0.03,0.28,0.71,0.293,0.346,0.463,0.809,0
40,Anthony Rizzo,L,NYY,1B,1B,4/11,6,19.1,@CLE,HGaddis(R),95,Lst7,4.4,3.9,0.9,0.58,0.23,0.59,0.06,0.39,0.81,0.244,0.333,0.474,0.807,100
41,Matt Olson,L,ATL,1B,1B,4/11,7,19.0,CIN,LCessa(R),97,Lst7,4.2,3.6,1.0,0.65,0.20,0.58,0.01,0.48,0.76,0.267,0.355,0.495,0.850,100
42,Christian Yelich,L,MIL,OF,OF,4/11,9,18.7,@ARI,MKelly(R),97,Lst7,4.7,4.1,1.1,0.65,0.12,0.44,0.16,0.55,1.08,0.260,0.349,0.422,0.771,100
43,Gleyber Torres,R,NYY,2B,2B,4/11,6,18.6,@CLE,HGaddis(R),96,Lst7,4.4,4.0,1.0,0.54,0.18,0.53,0.14,0.32,0.90,0.251,0.310,0.444,0.754,100
44,Ezequiel Tovar,R,COL,SS,SS,4/11,8,17.2,STL,MMikolas(R),88,Lst7,3.7,3.5,1.1,0.56,0.11,0.51,0.05,0.14,0.57,0.309,0.341,0.490,0.831,97
45,Austin Riley,R,ATL,3B,3B,4/11,7,17.0,CIN,LCessa(R),96,Lst7,4.1,3.7,1.0,0.56,0.17,0.61,0.01,0.31,0.79,0.279,0.344,0.483,0.827,100
