#,Name,Team,Opp,Date,GT,OppPitcher,LU,$,QS,W,L,IP,H,ER,K,BB,HBP,HR,K/9,K/BB,ERA,WHIP,R%
1,Shane McClanahan,TB,@BAL,5/8,6,KGibson(R),Lst7,31.0,0.57,0.45,0.22,5.8,4.6,1.9,6.4,1.5,0.17,0.5,10.1,4.4,3.03,1.06,100
2,Logan Gilbert,SEA,TEX,5/8,9,JGray(R),Lst7,25.3,0.54,0.38,0.26,5.6,4.5,2.0,6.1,1.2,0.21,0.7,9.8,5.0,3.20,1.02,100
3,Zac Gallen,ARI,MIA,5/8,9,BGarrett(L),Lst7,24.9,0.56,0.45,0.22,5.8,5.1,2.2,6.1,1.3,0.28,0.5,9.5,4.7,3.35,1.11,100
4,Nestor Cortes,NYY,OAK,5/8,7,JSears(L),Lst7,23.6,0.58,0.41,0.29,5.9,4.9,2.4,6.5,1.4,0.23,1.1,9.8,4.7,3.70,1.06,100
5,Mitch Keller,PIT,COL,5/8,6,KFreeland(L),Lst7,20.9,0.59,0.44,0.25,5.9,5.1,2.3,5.7,1.7,0.32,0.5,8.6,3.4,3.44,1.14,100
6,Freddy Peralta,MIL,LAD,5/8,7,TGonsolin(R),Lst7,18.3,0.54,0.38,0.29,5.8,4.4,2.4,7.0,2.3,0.32,0.9,10.9,3.0,3.76,1.17,100
7,Tanner Bibee,CLE,DET,5/8,6,JWentz(L),Lst7,17.1,0.44,0.34,0.22,5.1,4.1,1.9,5.6,1.3,0.21,0.6,9.9,4.2,3.32,1.07,100
8,Dylan Cease,CHW,@KC,5/8,7,ZGreinke(R),Lst7,12.3,0.53,0.37,0.28,5.7,4.9,2.3,6.1,2.0,0.28,0.6,9.6,3.0,3.70,1.21,100
9,Anthony DeSclafani,SF,WSH,5/8,9,JIrvin(R),Lst7,11.7,0.56,0.43,0.25,5.8,5.7,2.4,4.5,1.1,0.21,0.6,7.0,4.1,3.76,1.16,100
10,Jon Gray,TEX,@SEA,5/8,9,LGilbert(R),Lst7,3.2,0.52,0.25,0.40,5.7,5.0,2.5,5.8,1.8,0.36,0.8,9.2,3.3,3.96,1.20,97
11,Miles Mikolas,STL,@CHC,5/8,7,MStroman(R),Lst7,2.7,0.59,0.34,0.37,6.0,6.1,2.6,4.8,1.4,0.30,0.4,7.1,3.3,3.82,1.25,88
12,Marcus Stroman,CHC,STL,5/8,7,MMikolas(R),Lst7,0.0,0.49,0.31,0.31,5.5,5.3,2.2,4.4,1.6,0.25,0.3,7.2,2.8,3.67,1.27,100
13,Hunter Brown,HOU,@LAA,5/8,9,PSandoval(L),Lst7,-5.7,0.46,0.29,0.32,5.4,5.0,2.6,5.6,2.5,0.27,0.6,9.2,2.2,4.24,1.38,100
14,Patrick Sandoval,LAA,HOU,5/8,9,HBrown(R),Lst7,-7.6,0.43,0.29,0.30,5.3,5.1,2.4,4.5,1.9,0.19,0.6,7.7,2.3,4.16,1.33,99
15,Tony Gonsolin,LAD,@MIL,5/8,7,FPeralta(R),Lst7,-12.1,0.34,0.20,0.32,4.8,4.4,2.3,4.7,1.9,0.18,0.8,8.8,2.5,4.39,1.31,100
16,JP Sears,OAK,@NYY,5/8,7,NCortes(L),Lst7,-12.1,0.41,0.23,0.36,5.2,5.1,2.5,4.1,1.5,0.24,0.8,7.1,2.7,4.38,1.28,25
17,Kyle Gibson,BAL,TB,5/8,6,SMcClanahan(L),Lst7,-15.7,0.49,0.20,0.45,5.6,5.9,2.8,4.3,1.6,0.33,0.7,7.0,2.8,4.42,1.33,65
18,Zack Greinke,KC,CHW,5/8,7,DCease(R),Lst7,-16.4,0.44,0.24,0.36,5.3,6.1,2.5,3.0,0.8,0.16,0.5,5.1,3.8,4.30,1.31,2
19,Joey Wentz,DET,@CLE,5/8,6,TBibee(R),Lst7,-21.9,0.37,0.19,0.37,5.0,5.0,2.4,3.5,2.0,0.21,0.5,6.3,1.7,4.35,1.41,0
20,Kyle Freeland,COL,@PIT,5/8,6,MKeller(R),Lst7,-22.6,0.44,0.21,0.40,5.4,5.7,2.7,3.4,1.7,0.22,0.6,5.7,2.0,4.59,1.39,15
21,Braxton Garrett,MIA,@ARI,5/8,9,ZGallen(R),Lst7,-25.9,0.40,0.18,0.41,5.2,6.0,2.8,3.8,1.5,0.23,0.6,6.6,2.6,4.83,1.44,75
22,Jake Irvin,WSH,@SF,5/8,9,ADeSclafani(R),Lst7,-26.4,0.27,0.16,0.34,4.5,4.7,2.5,3.8,1.9,0.38,0.6,7.5,2.0,4.93,1.45,1
